"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 23, 2012","93.47","93.47","93.47","93.47","-","0.31%"
"Nov 22, 2012","93.18","93.18","93.18","93.18","-","0.05%"
"Nov 21, 2012","93.13","93.13","93.13","93.13","-","0.58%"
"Nov 20, 2012","92.59","92.59","92.59","92.59","-","0.36%"
"Nov 19, 2012","92.26","92.26","92.26","92.26","-","-0.36%"
"Nov 16, 2012","92.59","92.59","92.59","92.59","-","-0.08%"
"Nov 15, 2012","92.66","92.66","92.66","92.66","-","0.32%"
"Nov 14, 2012","92.36","92.36","92.36","92.36","-","-0.28%"
"Nov 13, 2012","92.62","92.62","92.62","92.62","-","-0.31%"
"Nov 12, 2012","92.91","92.91","92.91","92.91","-","-0.03%"
"Nov 09, 2012","92.94","92.94","92.94","92.94","-","1.21%"
"Nov 08, 2012","91.83","91.83","91.83","91.83","-","-0.01%"
"Nov 07, 2012","91.84","91.84","91.84","91.84","-","0.53%"
"Nov 06, 2012","91.36","91.36","91.36","91.36","-","-0.09%"
"Nov 05, 2012","91.44","91.44","91.44","91.44","-","0.18%"
"Nov 01, 2012","91.28","91.28","91.28","91.28","-","-0.54%"
"Oct 30, 2012","91.78","91.78","91.78","91.78","-","0.38%"
"Oct 29, 2012","91.43","91.43","91.43","91.43","-","0.27%"
"Oct 26, 2012","91.18","91.18","91.18","91.18","-","0.62%"
"Oct 25, 2012","90.62","90.62","90.62","90.62","-","0.38%"
"Oct 24, 2012","90.28","90.28","90.28","90.28","-","0.56%"
"Oct 23, 2012","89.78","89.78","89.78","89.78","-","0.30%"
"Oct 22, 2012","89.51","89.51","89.51","89.51","-","0.43%"
"Oct 19, 2012","89.13","89.13","89.13","89.13","-","0.32%"
"Oct 18, 2012","88.85","88.85","88.85","88.85","-","0.40%"
"Oct 17, 2012","88.50","88.50","88.50","88.50","-","0.55%"
"Oct 16, 2012","88.02","88.02","88.02","88.02","-","0.15%"
"Oct 15, 2012","87.89","87.89","87.89","87.89","-","0.21%"
"Oct 12, 2012","87.71","87.71","87.71","87.71","-","-0.16%"
"Oct 11, 2012","87.85","87.85","87.85","87.85","-","0.83%"
"Oct 10, 2012","87.13","87.13","87.13","87.13","-","-0.07%"
"Oct 09, 2012","87.19","87.19","87.19","87.19","-","0.25%"
"Oct 08, 2012","86.97","86.97","86.97","86.97","-","-0.65%"
"Oct 05, 2012","87.54","87.54","87.54","87.54","-","0.53%"
"Oct 04, 2012","87.08","87.08","87.08","87.08","-","-0.03%"
"Oct 03, 2012","87.11","87.11","87.11","87.11","-","0.55%"
"Oct 02, 2012","86.63","86.63","86.63","86.63","-","-0.62%"
"Oct 01, 2012","87.17","87.17","87.17","87.17","-","-0.24%"
"Sep 28, 2012","87.38","87.38","87.38","87.38","-","0.46%"
"Sep 27, 2012","86.98","86.98","86.98","86.98","-","0.88%"
"Sep 26, 2012","86.22","86.22","86.22","86.22","-","-0.24%"
"Sep 25, 2012","86.43","86.43","86.43","86.43","-","0.16%"
"Sep 24, 2012","86.29","86.29","86.29","86.29","-","-0.14%"
"Sep 21, 2012","86.41","86.41","86.41","86.41","-","0.05%"
"Sep 20, 2012","86.37","86.37","86.37","86.37","-","-0.67%"
"Sep 19, 2012","86.95","86.95","86.95","86.95","-","-0.10%"
"Sep 18, 2012","87.04","87.04","87.04","87.04","-","0.23%"
"Sep 17, 2012","86.84","86.84","86.84","86.84","-","0.27%"
"Sep 14, 2012","86.61","86.61","86.61","86.61","-","-0.70%"
"Sep 13, 2012","87.22","87.22","87.22","87.22","-","-0.03%"
"Sep 12, 2012","87.25","87.25","87.25","87.25","-","0.76%"
"Sep 11, 2012","86.59","86.59","86.59","86.59","-","1.68%"
"Sep 10, 2012","85.16","85.16","85.16","85.16","-","-0.86%"
"Sep 07, 2012","85.90","85.90","85.90","85.90","-","0.64%"
"Sep 06, 2012","85.35","85.35","85.35","85.35","-","-0.55%"
"Sep 05, 2012","85.82","85.82","85.82","85.82","-","0.23%"
"Sep 04, 2012","85.62","85.62","85.62","85.62","-","0.79%"
"Sep 03, 2012","84.95","84.95","84.95","84.95","-","0.34%"
"Aug 31, 2012","84.66","84.66","84.66","84.66","-","-0.25%"
"Aug 30, 2012","84.87","84.87","84.87","84.87","-","0.60%"
"Aug 29, 2012","84.36","84.36","84.36","84.36","-","0.54%"
"Aug 28, 2012","83.91","83.91","83.91","83.91","-","-0.05%"
"Aug 27, 2012","83.95","83.95","83.95","83.95","-","0.13%"
"Aug 24, 2012","83.84","83.84","83.84","83.84","-","-0.20%"
"Aug 23, 2012","84.01","84.01","84.01","84.01","-","0.37%"
"Aug 22, 2012","83.70","83.70","83.70","83.70","-","0.26%"
"Aug 21, 2012","83.48","83.48","83.48","83.48","-","-0.23%"
"Aug 17, 2012","83.67","83.67","83.67","83.67","-","0.08%"
"Aug 16, 2012","83.60","83.60","83.60","83.60","-","0.53%"
"Aug 15, 2012","83.16","83.16","83.16","83.16","-","-0.07%"
"Aug 14, 2012","83.22","83.22","83.22","83.22","-","0.11%"
