"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 21, 2005","3,154.25","3,154.25","3,154.25","3,154.25","-","-0.50%"
"Mar 18, 2005","3,170.25","3,170.25","3,170.25","3,170.25","-","0.07%"
"Mar 17, 2005","3,168.10","3,168.10","3,168.10","3,168.10","-","-0.35%"
"Mar 16, 2005","3,179.20","3,179.20","3,179.20","3,179.20","-","-0.15%"
"Mar 15, 2005","3,183.82","3,183.82","3,183.82","3,183.82","-","-0.19%"
"Mar 14, 2005","3,189.83","3,189.83","3,189.83","3,189.83","-","-0.71%"
"Mar 11, 2005","3,212.65","3,212.65","3,212.65","3,212.65","-","-0.35%"
"Mar 10, 2005","3,224.00","3,224.00","3,224.00","3,224.00","-","0.54%"
"Mar 09, 2005","3,206.67","3,206.67","3,206.67","3,206.67","-","0.59%"
"Mar 08, 2005","3,187.83","3,187.83","3,187.83","3,187.83","-","0.03%"
"Mar 07, 2005","3,186.81","3,186.81","3,186.81","3,186.81","-","-0.68%"
"Mar 04, 2005","3,208.66","3,208.66","3,208.66","3,208.66","-","0.13%"
"Mar 03, 2005","3,204.64","3,204.64","3,204.64","3,204.64","-","0.60%"
"Mar 02, 2005","3,185.68","3,185.68","3,185.68","3,185.68","-","-0.75%"
"Mar 01, 2005","3,209.70","3,209.70","3,209.70","3,209.70","-","-0.10%"
"Feb 28, 2005","3,212.81","3,212.81","3,212.81","3,212.81","-","-0.20%"
"Feb 25, 2005","3,219.37","3,219.37","3,219.37","3,219.37","-","0.19%"
"Feb 24, 2005","3,213.28","3,213.28","3,213.28","3,213.28","-","0.31%"
"Feb 23, 2005","3,203.34","3,203.34","3,203.34","3,203.34","-","-0.14%"
"Feb 22, 2005","3,207.73","3,207.73","3,207.73","3,207.73","-","0.65%"
"Feb 21, 2005","3,187.01","3,187.01","3,187.01","3,187.01","-","-0.15%"
"Feb 18, 2005","3,191.78","3,191.78","3,191.78","3,191.78","-","-0.36%"
"Feb 17, 2005","3,203.19","3,203.19","3,203.19","3,203.19","-","-0.23%"
"Feb 16, 2005","3,210.45","3,210.45","3,210.45","3,210.45","-","0.04%"
"Feb 15, 2005","3,209.01","3,209.01","3,209.01","3,209.01","-","-0.09%"
"Feb 14, 2005","3,211.76","3,211.76","3,211.76","3,211.76","-","0.43%"
"Feb 11, 2005","3,198.06","3,198.06","3,198.06","3,198.06","-","-0.01%"
"Feb 10, 2005","3,198.23","3,198.23","3,198.23","3,198.23","-","0.42%"
"Feb 09, 2005","3,184.99","3,184.99","3,184.99","3,184.99","-","-0.29%"
"Feb 08, 2005","3,194.21","3,194.21","3,194.21","3,194.21","-","0.41%"
"Feb 07, 2005","3,181.29","3,181.29","3,181.29","3,181.29","-","0.43%"
"Feb 04, 2005","3,167.79","3,167.79","3,167.79","3,167.79","-","0.98%"
"Feb 03, 2005","3,137.04","3,137.04","3,137.04","3,137.04","-","0.15%"
"Feb 02, 2005","3,132.43","3,132.43","3,132.43","3,132.43","-","0.12%"
"Feb 01, 2005","3,128.60","3,128.60","3,128.60","3,128.60","-","1.11%"
